x_index,distance
1,"80.70644
Tensor[shape={}, stride={}, Float32, CPU:0, 0x600001f4caf0]"
2,"30.586107
Tensor[shape={}, stride={}, Float32, CPU:0, 0x600001f41b20]"
3,"2.8089325
Tensor[shape={}, stride={}, Float32, CPU:0, 0x600001f41af0]"
4,"0.049937822
Tensor[shape={}, stride={}, Float32, CPU:0, 0x600001f4cb00]"
5,"0.14665864
Tensor[shape={}, stride={}, Float32, CPU:0, 0x600001f4ca10]"
6,"0.14665861
Tensor[shape={}, stride={}, Float32, CPU:0, 0x600001f4cb30]"
7,"0.14665863
Tensor[shape={}, stride={}, Float32, CPU:0, 0x600001f4e9e0]"
8,"0.14481413
Tensor[shape={}, stride={}, Float32, CPU:0, 0x600001f41c40]"
9,"0
Tensor[shape={}, stride={}, Float32, CPU:0, 0x600001f41bb0]"
10,"50
Tensor[shape={}, stride={}, Float32, CPU:0, 0x600001f41b10]"
